permno,date,return,price,shares_outstanding,volume,return_ex_dividends,market_cap,entry_year,total_assets,current_assets,common_equity,cash_equivalents,cost_of_goods_sold,debt_current,debt_long_term,depreciation_amortization,income_before_extraordinary_items,inventories,liabilities_current,liabilities_total,net_income,property_plant_equipment,sales,stockholders_equity
10104,2010-04-30,0.008071,25.8675,5029523.0,5580407.0,0.006126,130101186.2025,2010.0,59386.0,23979.0,28476.0,17489.0,1345.0,4220.0,11498.0,575.0,1190.0,315.0,14251.0,30535.0,1190.0,2869.0,6404.0,28476.0
10104,2010-05-28,-0.127477,22.57,5026000.0,7406752.0,-0.127477,113436820.0,2010.0,59386.0,23979.0,28476.0,17489.0,1345.0,4220.0,11498.0,575.0,1190.0,315.0,14251.0,30535.0,1190.0,2869.0,6404.0,28476.0
10104,2010-06-30,-0.04918,21.46,5026000.0,6282398.0,-0.04918,107857960.0,2010.0,61578.0,27004.0,30798.0,18469.0,2140.0,3145.0,11510.0,706.0,2363.0,259.0,14691.0,30379.0,2363.0,2763.0,9505.0,30798.0
10104,2010-07-30,0.103914,23.64,5026000.0,6447152.0,0.101584,118814640.0,2010.0,61578.0,27004.0,30798.0,18469.0,2140.0,3145.0,11510.0,706.0,2363.0,259.0,14691.0,30379.0,2363.0,2763.0,9505.0,30798.0
10104,2010-08-31,-0.075931,21.845,5025000.0,5306818.0,-0.075931,109771125.0,2010.0,61578.0,27004.0,30798.0,18469.0,2140.0,3145.0,11510.0,706.0,2363.0,259.0,14691.0,30379.0,2363.0,2763.0,9505.0,30798.0
10104,2010-09-30,0.229114,26.85,5027114.0,10619524.0,0.229114,134978010.9,2010.0,65255.0,30264.0,32106.0,23637.0,1963.0,2260.0,14778.0,702.0,1352.0,235.0,13800.0,32743.0,1352.0,2835.0,7502.0,32106.0
10104,2010-10-29,0.096089,29.38,5027114.0,7612951.0,0.094227,147696609.32,2010.0,65255.0,30264.0,32106.0,23637.0,1963.0,2260.0,14778.0,702.0,1352.0,235.0,13800.0,32743.0,1352.0,2835.0,7502.0,32106.0
10104,2010-11-30,-0.079476,27.045,5051000.0,6097673.0,-0.079476,136604295.0,2010.0,65255.0,30264.0,32106.0,23637.0,1963.0,2260.0,14778.0,702.0,1352.0,235.0,13800.0,32743.0,1352.0,2835.0,7502.0,32106.0
10104,2010-12-31,0.15733,31.3,5052420.0,5993327.0,0.15733,158140746.0,2010.0,67243.0,32723.0,34412.0,24845.0,2061.0,2255.0,14780.0,709.0,1871.0,236.0,13336.0,32393.0,1871.0,2870.0,8582.0,34412.0
10104,2011-01-31,0.02492,32.03,5052420.0,5861822.0,0.023323,161829012.6,2010.0,67243.0,32723.0,34412.0,24845.0,2061.0,2255.0,14780.0,709.0,1871.0,236.0,13336.0,32393.0,1871.0,2870.0,8582.0,34412.0
10104,2011-02-28,0.027162,32.9,5061000.0,4033709.0,0.027162,166506900.0,2010.0,67243.0,32723.0,34412.0,24845.0,2061.0,2255.0,14780.0,709.0,1871.0,236.0,13336.0,32393.0,1871.0,2870.0,8582.0,34412.0
10104,2011-03-31,0.016185,33.4325,5060516.0,6727022.0,0.016185,169185701.17,2010.0,67666.0,32459.0,36617.0,24355.0,1922.0,0.0,14752.0,701.0,2115.0,276.0,11282.0,30607.0,2115.0,2894.0,8763.0,36617.0
10104,2011-04-29,0.077395,35.96,5060516.0,5360104.0,0.0756,181976155.36,2010.0,67666.0,32459.0,36617.0,24355.0,1922.0,0.0,14752.0,701.0,2115.0,276.0,11282.0,30607.0,2115.0,2894.0,8763.0,36617.0
10104,2011-05-31,-0.048387,34.22,5068000.0,5150245.0,-0.048387,173426960.0,2010.0,67666.0,32459.0,36617.0,24355.0,1922.0,0.0,14752.0,701.0,2115.0,276.0,11282.0,30607.0,2115.0,2894.0,8763.0,36617.0
10104,2011-06-30,-0.038282,32.91,5065515.0,7037667.0,-0.038282,166706098.64999998,2010.0,73535.0,39174.0,39776.0,28848.0,2084.0,1150.0,14772.0,684.0,3209.0,303.0,14192.0,33290.0,3209.0,2857.0,10775.0,39776.0
10104,2011-07-29,-0.068976,30.58,5065515.0,5631645.0,-0.070799,154903448.7,2010.0,73535.0,39174.0,39776.0,28848.0,2084.0,1150.0,14772.0,684.0,3209.0,303.0,14192.0,33290.0,3209.0,2857.0,10775.0,39776.0
10104,2011-08-31,-0.08208,28.07,5051000.0,11160863.0,-0.08208,141781570.0,2010.0,73535.0,39174.0,39776.0,28848.0,2084.0,1150.0,14772.0,684.0,3209.0,303.0,14192.0,33290.0,3209.0,2857.0,10775.0,39776.0
10104,2011-09-30,0.023869,28.74,5044602.0,8867198.0,0.023869,144981861.48,2010.0,73859.0,39206.0,40892.0,31660.0,1871.0,0.0,14789.0,709.0,1840.0,259.0,13056.0,32620.0,1840.0,2930.0,8374.0,40892.0
10104,2011-10-31,0.14231,32.77,5044602.0,6729426.0,0.140223,165311607.54000002,2010.0,73859.0,39206.0,40892.0,31660.0,1871.0,0.0,14789.0,709.0,1840.0,259.0,13056.0,32620.0,1840.0,2930.0,8374.0,40892.0
10104,2011-11-30,-0.043332,31.35,5032000.0,5435064.0,-0.043332,157753200.0,2010.0,73859.0,39206.0,40892.0,31660.0,1871.0,0.0,14789.0,709.0,1840.0,259.0,13056.0,32620.0,1840.0,2930.0,8374.0,40892.0
10104,2011-12-30,-0.181818,25.65,5025837.0,7487923.0,-0.181818,128912719.05,2010.0,72910.0,38482.0,41920.0,31012.0,1846.0,0.0,14778.0,701.0,2192.0,218.0,11072.0,30643.0,2192.0,2900.0,8792.0,41920.0
10104,2012-01-31,0.102144,28.21,5025837.0,7248771.0,0.099805,141778861.77,2010.0,72910.0,38482.0,41920.0,31012.0,1846.0,0.0,14778.0,701.0,2192.0,218.0,11072.0,30643.0,2192.0,2900.0,8792.0,41920.0
10104,2012-02-29,0.037044,29.255,4979000.0,5679684.0,0.037044,145660645.0,2010.0,72910.0,38482.0,41920.0,31012.0,1846.0,0.0,14778.0,701.0,2192.0,218.0,11072.0,30643.0,2192.0,2900.0,8792.0,41920.0
10104,2012-03-30,-0.003247,29.16,4975106.0,8170098.0,-0.003247,145074090.96,2010.0,74361.0,37538.0,42873.0,29742.0,1785.0,0.0,14777.0,730.0,2497.0,172.0,11632.0,31095.0,2497.0,2936.0,9039.0,42873.0
10104,2012-04-30,0.010288,29.4,4975106.0,5364162.0,0.00823,146268116.4,2010.0,74361.0,37538.0,42873.0,29742.0,1785.0,0.0,14777.0,730.0,2497.0,172.0,11632.0,31095.0,2497.0,2936.0,9039.0,42873.0
10104,2012-05-31,-0.09966,26.47,4905000.0,6501551.0,-0.09966,129835350.0,2010.0,74361.0,37538.0,42873.0,29742.0,1785.0,0.0,14777.0,730.0,2497.0,172.0,11632.0,31095.0,2497.0,2936.0,9039.0,42873.0
10104,2012-06-29,0.122025,29.7,4882506.0,6410934.0,0.122025,145010428.2,2010.0,78327.0,40023.0,43688.0,30676.0,1870.0,2950.0,13524.0,776.0,3452.0,158.0,15388.0,34240.0,3452.0,3021.0,10916.0,43688.0
10104,2012-07-31,0.018855,30.2,4882506.0,4806742.0,0.016835,147451681.2,2010.0,78327.0,40023.0,43688.0,30676.0,1870.0,2950.0,13524.0,776.0,3452.0,158.0,15388.0,34240.0,3452.0,3021.0,10916.0,43688.0
10104,2012-08-31,0.048013,31.65,4831000.0,3976014.0,0.048013,152901150.0,2010.0,78327.0,40023.0,43688.0,30676.0,1870.0,2950.0,13524.0,776.0,3452.0,158.0,15388.0,34240.0,3452.0,3021.0,10916.0,43688.0
10104,2012-09-28,-0.006003,31.46,4819056.0,4922048.0,-0.006003,151607501.76,2010.0,76558.0,38172.0,43329.0,31607.0,1648.0,1250.0,13521.0,746.0,2034.0,148.0,13955.0,32822.0,2034.0,3037.0,8181.0,43329.0
